#,Time,Service,Flags,Prio,Source Address,Source Name,Destination Address,Destination Name,Hop Count,Type,DPT,Info,Iack
135,"4/1/2026 12:47:53.310 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,MemoryExtended_Write (S=13),,"Count=14, Address=$0954, Data=00 06 17 00 17 00 17 07 4F 07 4F 00 17 07",LL_ACK
136,"4/1/2026 12:47:53.323 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=13),,"",LL_ACK
137,"4/1/2026 12:47:53.394 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,MemoryExtended_WriteResponse (S=13),,"ReturnCode=E_SUCCESS, Address=$0954",LL_ACK
138,"4/1/2026 12:47:53.419 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=13),,"",LL_ACK
139,"4/1/2026 12:47:53.486 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Read (S=14),,"ObjectIndex=2, PropertyId=7, Count=1, StartIndex=1",LL_ACK
140,"4/1/2026 12:47:53.507 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=14),,"",LL_ACK
141,"4/1/2026 12:47:53.589 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=14),,"ObjectIndex=2, PropertyId=7, Count=1, StartIndex=1, Data=00 00 09 74",LL_ACK
142,"4/1/2026 12:47:53.629 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=14),,"",LL_ACK
143,"4/1/2026 12:47:53.751 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,MemoryExtended_Write (S=15),,"Count=26, Address=$0974, Data=00 06 00 01 00 01 00 02 00 02 00 03 00 03 00 04 00 04 00 05 00 05 00 06 00 06",LL_ACK
144,"4/1/2026 12:47:53.773 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=15),,"",LL_ACK
145,"4/1/2026 12:47:53.844 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,MemoryExtended_WriteResponse (S=15),,"ReturnCode=E_SUCCESS, Address=$0974",LL_ACK
146,"4/1/2026 12:47:53.869 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=15),,"",LL_ACK
147,"4/1/2026 12:47:53.943 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Read (S=0),,"ObjectIndex=1, PropertyId=7, Count=1, StartIndex=1",LL_ACK
148,"4/1/2026 12:47:53.958 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=0),,"",LL_ACK
149,"4/1/2026 12:47:54.039 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=0),,"ObjectIndex=1, PropertyId=7, Count=1, StartIndex=1, Data=00 00 09 64",LL_ACK
150,"4/1/2026 12:47:54.065 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=0),,"",LL_ACK
151,"4/1/2026 12:47:54.160 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,MemoryExtended_Write (S=1),,"Count=14, Address=$0964, Data=00 06 00 01 00 02 00 03 00 04 00 05 01 01",LL_ACK
152,"4/1/2026 12:47:54.182 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=1),,"",LL_ACK
153,"4/1/2026 12:47:54.253 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,MemoryExtended_WriteResponse (S=1),,"ReturnCode=E_SUCCESS, Address=$0964",LL_ACK
154,"4/1/2026 12:47:54.278 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=1),,"",LL_ACK
155,"4/1/2026 12:47:54.369 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,FunctionPropertyExtCommand (S=2),,"ObjectType=17, Instance=1, PropertyId=5, Command=01 00 00 00 00 00 00 00 00 00",LL_ACK
156,"4/1/2026 12:47:54.390 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=2),,"",LL_ACK
157,"4/1/2026 12:47:54.469 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,FunctionPropertyExtState_Response (S=2),,"ObjectType=17, Instance=1, PropertyId=5, ReturnCode=0",LL_ACK
158,"4/1/2026 12:47:54.501 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=2),,"",LL_ACK
159,"4/1/2026 12:47:54.580 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyExtValue_WriteCon (S=3),,"ObjectType=17, Instance=1, PropertyId=54, Count=1, StartIndex=0, Data=00 00",LL_ACK
160,"4/1/2026 12:47:54.602 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=3),,"",LL_ACK
161,"4/1/2026 12:47:54.686 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyExtValue_WriteConRes (S=3),,"ObjectType=17, Instance=1, PropertyId=54, Count=1, StartIndex=0, ReturnCode=E_SUCCESS",LL_ACK
162,"4/1/2026 12:47:54.710 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=3),,"",LL_ACK
163,"4/1/2026 12:47:54.798 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyExtValue_WriteCon (S=4),,"ObjectType=17, Instance=1, PropertyId=61, Count=6, StartIndex=1, Data=00 00 00 00 00 00",LL_ACK
164,"4/1/2026 12:47:54.820 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=4),,"",LL_ACK
165,"4/1/2026 12:47:54.903 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyExtValue_WriteConRes (S=4),,"ObjectType=17, Instance=1, PropertyId=61, Count=6, StartIndex=1, ReturnCode=E_SUCCESS",LL_ACK
166,"4/1/2026 12:47:54.934 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=4),,"",LL_ACK
167,"4/1/2026 12:47:55.025 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,FunctionPropertyExtCommand (S=5),,"ObjectType=17, Instance=1, PropertyId=5, Command=02 00 00 00 00 00 00 00 00 00",LL_ACK
168,"4/1/2026 12:47:55.046 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=5),,"",LL_ACK
169,"4/1/2026 12:47:55.125 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,FunctionPropertyExtState_Response (S=5),,"ObjectType=17, Instance=1, PropertyId=5, ReturnCode=0",LL_ACK
170,"4/1/2026 12:47:55.149 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=5),,"",LL_ACK
171,"4/1/2026 12:47:55.226 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=6),,"ObjectIndex=4, PropertyId=13, Count=1, StartIndex=1, Data=00 85 00 01 01",LL_ACK
172,"4/1/2026 12:47:55.248 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=6),,"",LL_ACK
173,"4/1/2026 12:47:55.332 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=6),,"ObjectIndex=4, PropertyId=13, Count=1, StartIndex=1, Data=00 85 00 01 01",LL_ACK
174,"4/1/2026 12:47:55.361 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=6),,"",LL_ACK
175,"4/1/2026 12:47:55.449 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=7),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=02 00 00 00 00 00 00 00 00 00",LL_ACK
176,"4/1/2026 12:47:55.473 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=7),,"",LL_ACK
177,"4/1/2026 12:47:55.547 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=7),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=$01",LL_ACK
178,"4/1/2026 12:47:55.579 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=7),,"",LL_ACK
179,"4/1/2026 12:47:55.667 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=8),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=02 00 00 00 00 00 00 00 00 00",LL_ACK
180,"4/1/2026 12:47:55.691 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=8),,"",LL_ACK
181,"4/1/2026 12:47:55.764 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=8),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=$01",LL_ACK
182,"4/1/2026 12:47:55.789 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=8),,"",LL_ACK
183,"4/1/2026 12:47:55.880 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=9),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=02 00 00 00 00 00 00 00 00 00",LL_ACK
184,"4/1/2026 12:47:55.941 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=9),,"",LL_ACK
185,"4/1/2026 12:47:56.015 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=9),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=$01",LL_ACK
186,"4/1/2026 12:47:56.042 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=9),,"",LL_ACK
187,"4/1/2026 12:47:56.130 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=10),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=02 00 00 00 00 00 00 00 00 00",LL_ACK
188,"4/1/2026 12:47:56.154 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=10),,"",LL_ACK
189,"4/1/2026 12:47:56.228 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=10),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=$01",LL_ACK
190,"4/1/2026 12:47:56.252 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=10),,"",LL_ACK
191,"4/1/2026 12:47:56.314 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,ConfirmedRestart (S=11),,"EraseCode=ConfirmedRestart ChannelNumber=0",LL_ACK
192,"4/1/2026 12:47:56.340 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=11),,"",LL_ACK
193,"4/1/2026 12:47:56.408 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,ConfirmedRestart_Response (S=11),,"Error=NoError ProcessTime=00:00:03",LL_ACK
194,"4/1/2026 12:47:56.432 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=11),,"",LL_ACK
195,"4/1/2026 12:47:56.475 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_Disconnect,,"",LL_ACK
196,"4/1/2026 12:47:59.435 AM",from bus,,Low,1.4.1,"Rèm 1",0/0/4,"Position Status. Rèm 1 (vị trí rèm 0-100%)",6,GroupValue_Write,  5.001 percentage (0..100%),"$99 | 60.0%",LL_ACK
